,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
496,World Duty Free Company Limited (British),07-Jul-00,Services & Trade,Contract,,"Award rendered on October 4, 2006.",Republic of Kenya (Kenyan),Concluded,Duty free concession
497,Consortium R.F.C.C. (Italian),28-Jun-00,Transportation,BIT Italy - Morocco 1990,,"Award rendered on December 22, 2003.",Kingdom of Morocco (Moroccan),Concluded,Construction of the section of a highway
498,"Autopista Concesionada de Venezuela, C.A. (Venezuelan)",23-Jun-00,Transportation,Contract,,"Award rendered on September 23, 2003.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Contract for the construction of a highway system
499,"Italstrade S.p.A. (Italian), Salini Costruttori S.p.A. (Italian)",13-Jun-00,Transportation,BIT Italy - Morocco 1990,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance pursuant to Arbitration Rule 43(1) issued by the Tribunal on February 4, 2004).",Kingdom of Morocco (Moroccan),Concluded,Construction of the section of a highway
500,"GRAD Associates, P.A. (U.S.)",01-Mar-00,Construction,Contract,,"Proceeding discontinued for lack of payment of advances pursuant to Regulation 14(3)(d) of the Administrative and Financial Regulations (Order for the discontinuance of the proceeding issued by the Tribunal on February 5, 2002).",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Contract for the construction and modernization of penitentiaries
501,Mihaly International Corporation (U.S.),11-Jan-00,Electric Power & Other Energy,BIT Sri Lanka - United States of America 1991,,"Award rendered on March 15, 2002; attached to the award is a Concurring Opinion by one of the arbitrators.",Democratic Socialist Republic of Sri Lanka (Sri Lanka),Concluded,Power project
502,Zhinvali Development Ltd. (Irish),07-Jan-00,Electric Power & Other Energy,Investment Law - Georgia (1996),,"Award rendered on January 24, 2003; attached to the award is a separate opinion by one of the arbitrators.",Republic of Georgia (Georgian),Concluded,Rehabilitation of a hydropower plant
503,"Waste Management, Inc. (U.S.)",27-Sep-00,"Water, Sanitation & Flood Protection",NAFTA (North American Free Trade Agreement),,"Award rendered on April 30, 2004.",United Mexican States (Mexican),Concluded,Waste disposal enterprise
504,ADF Group Inc. (Canadian),25-Aug-00,Transportation,NAFTA (North American Free Trade Agreement),,"Award rendered on January 9, 2003.",United States of America (U.S.),Concluded,Highway construction project
505,"Astaldi S.p.A. (Italian), Columbus Latinoamericana de Construcciones S.A. (Panamanian)",29-Dec-99,Transportation,Contract,,"Award rendered on October 19, 2000.",Republic of Honduras (Honduran),Concluded,Highway rehabilitation contract
506,Patrick Mitchell (U.S.),10-Dec-99,Services & Trade,"BIT Congo, Democratic Republic of - United States of America 1984",,"Award rendered on February 9, 2004; attached to the award is a dissenting opinion by arbitrator Yawovi Agboyibo.",Democratic Republic of the Congo (Congolese (D.R.)),Concluded,Law firm
507,Middle East Cement Shipping and Handling Co. S.A. (Greek),19-Nov-99,Construction,"BIT Egypt, Arab Republic of - Greece 1993",,"Award rendered on April 12, 2002.",Arab Republic of Egypt (Egyptian),Concluded,Cement distribution enterprise
508,Alimenta S.A. (Swiss),12-Jul-99,Other Industry,"BIT Gambia, The - Switzerland 1993",,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of discontinuance of the proceeding issued by the Arbitral Tribunal on May 3, 2001, pursuant to Arbitration Rule 43(1)).",Republic of The Gambia (Gambian),Concluded,Groundnut enterprise
509,Empresa Nacional de Electricidad S.A. (Chilean),12-Jul-99,Electric Power & Other Energy,BIT Chile - Argentina 1991,,"Proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal on February 7, 2001, pursuant to Arbitration Rule 44).",Argentine Republic (Argentine),Concluded,Hydroelectric power concession
510,Philippe Gruslin (Belgian),12-May-99,Finance,BIT Belgium-Luxembourg - Malaysia 1979,,"The Tribunal renders its award declining jurisdiction on November 28, 2000.",Malaysia (Malaysian),Concluded,Company shareholding
511,"A.S. Baltoil (Estonian), Alex Genin (U.S.), Eastern Credit Limited, Inc. (U.S.)",12-May-99,Finance,BIT United States of America - Estonia 2003,,"Award rendered on June 25, 2001.",Republic of Estonia (Estonian),Concluded,Banking enterprise
512,Mobil Argentina S.A. (Argentine),09-Apr-99,"Oil, Gas & Mining",BIT United States of America - Argentina 1991,,"Proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Secretary-General on July 21, 1999, pursuant to Arbitration Rule 44).",Argentine Republic (Argentine),Concluded,Petroleum exploration and production venture
513,Mondev International Ltd. (Canadian),20-Sep-99,Construction,NAFTA (North American Free Trade Agreement),,"Award rendered on October 11, 2002.","United States of America (U.S.,nationality not available)",Concluded,Commercial real estate development
514,Marvin Roy Feldman Karpa (U.S.),27-May-99,Services & Trade,NAFTA (North American Free Trade Agreement),,"Award rendered on December 16, 2002; attached to the award is a Dissenting Opinion by one of the arbitrators.",United Mexican States (Mexican),Concluded,Foreign trade enterprise
515,Tanzania Electric Supply Company Limited (Tanzanian),07-Dec-98,Electric Power & Other Energy,Other,,"July 12, 2001 - The Tribunal renders the award.",Independent Power Tanzania Limited (Tanzanian),Concluded,Power purchase agreement
516,"Banro American Resources, Inc. (U.S.), Société Aurifère du Kivu et du Maniema S.A.R.L. (Congolese (D.R.))",28-Oct-98,"Oil, Gas & Mining",Other,,"Award rendered on September 1, 2000; attached to the award is a dissenting opinion by arbitrator Carveth Harcourt Geach.",Democratic Republic of the Congo (Congolese (D.R.)),Concluded,Gold mining concessions
517,Compagnie Minière Internationale Or S.A. (French),28-Oct-98,"Oil, Gas & Mining",BIT France - Peru 1993,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance of the proceeding issued by the Secretary-General on February 23, 2001, pursuant to Arbitration Rule 43(1)).",Republic of Peru (Peruvian),Concluded,Gold mining project
518,Eudoro A. Olguín (Peruvian),26-Aug-98,"Agriculture, Fishing & Forestry",BIT Peru - Paraguay 1994,,"Award rendered on July 26, 2001.",Republic of Paraguay (Paraguayan),Concluded,Food products enterprise
519,Wena Hotels Limited (British),31-Jul-98,Tourism,"BIT Egypt, Arab Republic of - United Kingdom of Great Britain and Northern Ireland 1975",,"Award rendered on December 8, 2000.",Arab Republic of Egypt (Egyptian),Concluded,Hotel lease and development agreements
520,International Trust Company of Liberia (Liberian),28-May-98,Transportation,Other,,"The Tribunal issues an order for the discontinuance of the proceeding on July 24, 2002 for lack of payment of advances, pursuant to Regulation 14(3)(d) of the Administrative and Financial Regulations.",Republic of Liberia (Liberian),Concluded,Maritime registry
521,"Empresa Distribuidora de Electricidad de Santiago Del Estero S.A. (Argentine), Houston Industries Energy, Inc. (U.S.), Industrias Eléctricas de Houston S.A. (Argentine)",25-Feb-98,Electric Power & Other Energy,BIT United States of America - Argentina 1991,,"Award rendered on August 24, 2001; attached to the award is a separate opinion by one of the arbitrators.",Argentine Republic (Argentine),Concluded,Electricity distribution and sale concession
522,"Raymond L. Loewen (Canadian), The Loewen Group, Inc. (Canadian)",19-Nov-98,Services & Trade,NAFTA (North American Free Trade Agreement),,"Award rendered on June 26, 2003.",United States of America (U.S.),Concluded,Funeral home and insurance enterprises
523,"Waste Management, Inc. (U.S.)",18-Nov-98,"Water, Sanitation & Flood Protection",NAFTA (North American Free Trade Agreement),,"Award rendered on June 2, 2000; attached to the award is a dissenting opinion by one of the arbitrators.",United Mexican States (Mexican),Concluded,Waste disposal enterprise
524,Joseph C. Lemire (U.S.),16-Jan-98,Information & Communication,BIT Ukraine - United States of America 1994,,"Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on September 18, 2000, pursuant to Article 49(2) of the ICSID Arbitration (Additional Facility) Rules).",Ukraine (Ukrainian),Concluded,Radio broadcasting enterprise
525,Compagnie Française pour le Développement des Fibres Textiles (French),04-Nov-97,Other Industry,Contract,,"Award embodying the parties' settlement agreement rendered on April 4, 2000.",Côte d'Ivoire (Ivorian),Concluded,Textile industry enterprise
526,Emilio Agustín Maffezini (Argentine),30-Oct-97,Other Industry,BIT Spain - Argentina 1991,,"Award rendered on November 13, 2000.",Kingdom of Spain (Spanish),Concluded,Chemical products enterprise
527,"Lanco International, Inc. (U.S.)",14-Oct-97,Transportation,BIT United States of America - Argentina 1991,,"Proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal on October 17, 2000 pursuant to Arbitration Rule 44).",Argentine Republic (Argentine),Concluded,Port terminal concession agreement
528,"WRB Enterprises and Grenada Private Power Limited (U.S.,Grenadian)",30-Jul-97,Electric Power & Other Energy,Contract,,"Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on December 21, 1998, pursuant to ICSID Arbitration Rule 43(2)).",Grenada (Grenadian),Concluded,Electricity enterprise
529,"White & Case, Washington, D.C., U.S.A.",25-Apr-97,Finance,BIT Czech Republic - Slovak Republic 1992,,"Award rendered on December 29, 2004.",Slovak Republic (Slovak),Concluded,Debt instruments
530,"Compañía de Aguas del Aconquija S.A.  (Argentine), Vivendi Universal S.A. (French)",19-Feb-97,"Water, Sanitation & Flood Protection",BIT France - Argentina 1991 - Contract,,"November 21, 2000 - The Tribunal renders its award.",Argentine Republic (Argentine),Concluded,Water and sewer services concession agreement
531,"Société Kufpec (Congo) Limited (British,Kuwaiti)",29-Jan-97,"Oil, Gas & Mining",Other,,"Proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Secretary-General on September 8, 1997 pursuant to Arbitration Rule 44).",Republic of Congo (Congolese),Concluded,Petroleum exploration and exploitation agreement
532,Société d'Investigation de Recherche et d'Exploitation Minière (French),27-Jan-97,"Oil, Gas & Mining",Other,,"Award rendered on January 19, 2000.",Burkina Faso (Burkinabe),Concluded,Gold mining operation
533,"Ellen Baca (U.S.), Kenneth Davitian (U.S.), Robert Azinian (U.S.)",24-Mar-97,"Water, Sanitation & Flood Protection","Contract, NAFTA (North American Free Trade Agreement)",,"Award rendered on November 1, 1999.",United Mexican States (Mexican),Concluded,Waste disposal enterprise
534,Metalclad Corporation (U.S.),13-Jan-97,"Water, Sanitation & Flood Protection",NAFTA (North American Free Trade Agreement),,"Award rendered on August 30, 2000.",United Mexican States (Mexican),Concluded,Waste disposal enterprise
535,Fedax N.V. (Dutch),26-Jun-96,Finance,"BIT Netherlands - Venezuela, Republica Bolivariana de 1991",,"Award rendered on March 9, 1998.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Debt instruments
536,Misima Mines Pty. Ltd. (Australian),29-Apr-96,"Oil, Gas & Mining",Other,,"The Tribunal issues an order taking note of the discontinuance of the proceeding on May 14, 2001 pursuant to Arbitration Rule 44.",Independent State of Papua New Guinea (Papua New Guinea),Concluded,Mining concession agreement
537,Compañia del Desarrollo de Santa Elena S.A. (Costa Rican),22-Mar-96,Tourism,Contract,,"Award rendered on February 17, 2000.",Republic of Costa Rica (Costa Rican),Concluded,Valuation of land holding
538,"Alain Goetz (Belgian), Antoine Goetz (Belgian), Sandra Weyler (Belgian), Sven Goetz (Belgian), Sylvain Goetz (Belgian), Theresia Pooters (Belgian)",18-Dec-95,"Oil, Gas & Mining",BIT Belgium-Luxembourg - Burundi 1989,,"Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on February 10, 1999, pursuant to ICSID Arbitration Rule 43(2)).",Republic of Burundi (Burundi),Concluded,Mining enterprise
539,"Cable Television of Nevis, Ltd. and Cable Television of Nevis Holdings, Ltd. (St. Kitts and Nevis)",14-Nov-95,Information & Communication,Contract,,"Award declining jurisdiction rendered on January 13, 1997.",Federation of St. Kitts and Nevis (St. Kitts and Nevis),Concluded,Cable television franchise
540,"Greek-Albanian Leaf Tobacco & Co. S.A. (Greek), Leaf Tobacco A. Michaelides S.A. (Greek)",27-Apr-95,Other Industry,BIT Greece - Albania 1991,,"Following a settlement agreed by the parties, the proceeding discontinued at the request of the Claimants (Order of the Secretary-General taking note of the discontinuance issued on January 30, 1997 pursuant to Arbitration Rule 44).",Republic of Albania (Albanian),Concluded,Tobacco manufacturing and warehousing
541,Tradex Hellas S.A. (Greek),08-Dec-94,Other Industry,BIT Greece - Albania 1991 - Investment Law - Albania (1993),,"Award rendered on April 29, 1999.",Republic of Albania (Albanian),Concluded,Agricultural enterprise
542,SEDITEX Engineering Beratungsgesellschaft f_r dieTextilindustrie m.b.H. (German),13-Jun-94,Other Industry,Contract,,"Report of the Commission issued on July 19, 1996.",Madagascar (Malagasy),Concluded,Textile enterprise
543,Philippe Gruslin (Belgian),13-Jan-94,Construction,BIT Belgium-Luxembourg - Malaysia 1979,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on April 24, 1996 pursuant to Arbitration Rule 43(1)).",Malaysia (Malaysian),Concluded,Construction enterprise
544,"American Manufacturing & Trading, Inc. (U.S.)",02-Feb-93,Other Industry,BIT Zaire - United States of America 1984,,"Award rendered on February 21, 1997.",Democratic Republic of the Congo (Congolese (D.R.)),Concluded,Manufacturing and trading enterprise
545,Scimitar Exploration Limited (British),03-Nov-92,"Oil, Gas & Mining",,,"Award declining jurisdiction over the dispute rendered on May 4, 1994.",Bangladesh and (Bangladeshi),Concluded,Oil exploration and development
546,Vacuum Salt Products Ltd. (Ghanaian),11-Jun-92,Finance,Contract,,"Award declining jurisdiction over the dispute rendered on February 16, 1994.",Republic of Ghana (Ghanaian),Concluded,Salt mining operation
547,Manufacturers Hanover Trust Company (U.S.),15-Jun-89,Finance,Investment Law - Egypt,,"Settlement agreed by the Claimant and one of the Respondents and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on June 24, 1993 pursuant to Arbitration Rule 44).",Arab Republic of Egypt (Egyptian),Concluded,Bank branch operation
548,"Occidental of Pakistan, Inc. (U.S.)",07-Oct-87,"Oil, Gas & Mining",Contract,,"Settlement agreed by the parties and proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal on January 27, 1989 pursuant to Arbitration Rule 44).",Islamic Republic of Pakistan (Pakistani),Concluded,Petroleum concession
549,Asian Agricultural Products Limited (British),20-Jul-87,"Agriculture, Fishing & Forestry",BIT United Kingdom of Great Britain and Northern Ireland - Sri Lanka 1980,,"June 27, 1990 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Samuel K.B. Asante.",Democratic Socialist Republic of Sri Lanka (Sri Lanka),Concluded,Shrimp farming joint venture
550,"Mobil Oil Corporation (U.S.), Mobil Oil New Zealand Ltd. (New Zealand), Mobil Petroleum Inc. (U.S.)",15-Apr-87,"Oil, Gas & Mining",Contract,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on November 26, 1990 pursuant to Arbitration Rule 43(1)).",New Zealand (New Zealand),Concluded,Synthetic fuels project
551,Société d'Etudes de Travaux et de Gestion SETIMEG S.A. (French),24-Feb-87,Construction,Contract,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on January 21, 1993 pursuant to Arbitration Rule 43(1)).",Republic of Gabon (Gabonese),Concluded,Restructuring of an administrative and residential complex
552,Ghaith R. Pharaon (Saudi Arabian),24-Sep-86,Tourism,"Contract, Investment Law - Tunisia (1969)",,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on November 21, 1988 pursuant to Arbitration Rule 43 (1)).",Republic of Tunisia (Tunisian),Concluded,Tourism and holiday resort projects
553,Maritime International Nominees Establishment (Swiss),18-Sep-84,"Oil, Gas & Mining",Contract,,"Award rendered on January 6, 1988.",Republic of Guinea (Guinean),Concluded,Bauxite transportation joint venture
554,"Southern Pacific Properties (Middle East) Limited (British,Hong Kong)",28-Aug-84,Tourism,Investment Law - Egypt,,"Award rendered on May 20, 1992; attached to the Award is a Dissenting Opinion by one of the arbitrators.",Arab Republic of Egypt (Egyptian),Concluded,Tourism development project
555,Colt Industries Operating Corporation (U.S.),21-Feb-84,Other Industry,Contract,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on August 3, 1990 pursuant to Arbitration Rule 43(1)).",Republic of Korea (Korean),Concluded,Technical and licensing agreements for the production of weapons
556,Atlantic Triton Company Limited (Norwegian),19-Jan-84,"Agriculture, Fishing & Forestry",Contract,,"Award rendered by the Tribunal on April 21, 1986.",People's Revolutionary Republic of Guinea (Guinean),Concluded,"Contract for the conversion, equipping and operation of fishing vessels"
557,Tesoro Petroleum Corporation (U.S.),26-Aug-83,"Oil, Gas & Mining",Contract,,"Settlement agreed by the parties and proceeding closed (Report of the Conciliation Commission issued on November 27, 1985 pursuant to Conciliation Rule 33).",Trinidad and Tobago (Trinidad and Tobago),Concluded,Oil exploitation and exploration
558,Liberian Eastern Timber Corporation (Liberian),21-Jun-83,"Agriculture, Fishing & Forestry",Contract,,"Award rendered on March 31, 1986.",Republic of Liberia (Liberian),Concluded,Forestry concession
559,"Icelandic Aluminium Company Limited (Icelandic), Swiss Aluminium Limited (Swiss)",16-Jun-83,"Oil, Gas & Mining",Contract,,"Settlement agreed by the parties and proceeding discontinued at their request (Order of the Secretary-General taking note of the discontinuance issued on March 6, 1985 pursuant to Arbitration Rule 43(1)).",Iceland (Icelandic),Concluded,Aluminium smelter
560,SEDITEX Engineering Beratungsgesellschaft f_r die Textilindustrie m.b.H. (German),05-Oct-82,Other Industry,Contract,,"Settlement agreed by the parties and proceeding closed on June 20, 1983 before the constitution of a Commission.",Democratic Republic of Madagascar (Malagasy),Concluded,Textile enterprise
561,Société Ouest Africaine des Bétons Industriels (Senegalese),08-Nov-82,Construction,Contract,,"Award rendered on February 25, 1988; attached to the Award is a Dissenting Opinion by arbitrator Keba M'Baye.",Senegal (Senegalese),Concluded,Construction of low-income housing units
562,"Klöckner Belge S.A. (Belgian), Klöckner Handelsmaatschappij B.V. (Dutch), Klöckner Industrie-Anlagen GmbH (German)",14-Apr-81,Other Industry,Contract,,"Award rendered on October 21, 1983; attached to the Award is a Dissenting Opinion by arbitrator Dominique Schmidt.","Société Camerounaise des Engrais (Cameroonian), United Republic of Cameroon (Cameroonian)",Concluded,Construction and operation of a fertilizer factory
563,"Amco Asia Corporation (U.S.), P.T. Amco (Indonesian), Pan American Development Limited (British)",27-Feb-81,Tourism,Contract,,"Award rendered on November 20, 1984.",Republic of Indonesia (Indonesian),Concluded,Construction and operation of a hotel
564,Guadalupe Gas Products Corporation (U.S.),20-Mar-78,"Oil, Gas & Mining",Contract,,"Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on July 22, 1980, pursuant to Arbitration Rule 43(2)).",Nigeria (Nigerian),Concluded,Production and marketing of liquefied natural gas
565,S.A.R.L. Benvenuti & Bonfant (Italian),15-Dec-77,Other Industry,Contract,,"Award rendered on August 8, 1980.",People's Republic of the Congo (Congolese),Concluded,Manufacture of plastic bottles
566,AGIP S.p.A. (Italian),04-Nov-77,"Oil, Gas & Mining",Contract,,"Award rendered on November 30, 1979.",People's Republic of the Congo (Congolese),Concluded,Oil products distribution venture
567,Gabon (Gabonese),05-Oct-76,Construction,Contract,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on February 27, 1978 pursuant to Arbitration Rule 43(1)).",Société Serete S.A. (French),Concluded,Construction of a hospital maternity ward
568,"Reynolds Jamaica Mines Limited (U.S.), Reynolds Metals Company (U.S.)",21-Jun-74,"Oil, Gas & Mining",Contract,,"Proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal on October 12, 1977 pursuant to Arbitration Rule 44).",Jamaica (Jamaican),Concluded,Bauxite mining
569,Kaiser Bauxite Company (U.S.),21-Jun-74,"Oil, Gas & Mining",Contract,,"Settlement agreed by the parties and proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal on February 27, 1977 pursuant to Arbitration Rule 44).",Jamaica (Jamaican),Concluded,Bauxite mining
570,"Alcoa Minerals of Jamaica, Inc. (U.S.)",21-Jun-74,"Oil, Gas & Mining",Contract,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on February 27, 1977 pursuant to Arbitration Rule 43(1)).",Jamaica (Jamaican),Concluded,Bauxite mining
571,Adriano Gardella S.p.A. (Italian),06-Mar-74,Other Industry,Contract,,"Award rendered on August 29, 1977.",Côte d'Ivoire (Ivorian),Concluded,Production of fibers and textiles
572,"Holiday Inns S.A. (Swiss), Occidental Petroleum Corporation (U.S.)",13-Jan-72,Tourism,Contract,,"Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on October 17, 1978 pursuant to Arbitration Rule 43(1)).",Morocco (Moroccan),Concluded,Joint venture to build and operate hotels
573,Railroad Development Corporation (U.S.),20-Aug-07,Transportation,CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),,"June 29, 2012 - The Tribunal renders its award.",Republic of Guatemala (Guatemalan),Concluded,Railroad concession contract
574,"ARS LONGA (French), Shareholders of SESAM: GITPON ENTERPRISE LTD. (British)",13-Aug-07,"Agriculture, Fishing & Forestry",Contract,,"August 13, 2008 - The Commission issues its report.",Central African Republic (Central African),Concluded,Log production and processing enterprise
575,"AES Summit Generation Limited (British), AES-Tisza Erömü Kft. (Hungarian)",13-Aug-07,Electric Power & Other Energy,ECT (Energy Charter Treaty),,"September 23, 2010 - The Tribunal renders its award.",Hungary (Hungarian),Concluded,Electricity generation
576,Pantechniki S.A. Contractors & Engineers (Greek),13-Aug-07,Construction,BIT Greece - Albania 1991 - Investment Law - Albania (1993),,"July 30, 2009 - The Sole Arbitrator renders the award.",Republic of Albania (Albanian),Concluded,Construction contracts
577,Saba Fakes (Dutch),13-Aug-07,Information & Communication,BIT Netherlands - Turkey 1986,,"July 14, 2010 - The Tribunal renders its award.",Republic of Turkey (Turkish),Concluded,Mobile telecommunications services
578,Electrabel S.A. (Belgian),13-Aug-07,Electric Power & Other Energy,ECT (Energy Charter Treaty),,"November 25, 2015 - The Tribunal renders its award.",Hungary (Hungarian),Concluded,Electricity generation
579,Shell Nigeria Ultra Deep Limited (Nigerian),26-Jul-07,"Oil, Gas & Mining",BIT Netherlands - Nigeria 1992,,"August 1, 2011 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Federal Republic of Nigeria (Nigerian),Concluded,Hydrocarbon concession
580,Impregilo S.p.A. (Italian),25-Jul-07,"Water, Sanitation & Flood Protection",BIT Argentina - Italy 1990,,"June 21, 2011 - The Tribunal renders its award; attached to the award are two concurring and dissenting opinions by two members of the Tribunal.",Argentine Republic (Argentine),Concluded,Water services concession
581,Alpha Projektholding GmbH (Austrian),25-Jul-07,Tourism,BIT Ukraine - Austria 1996,,"November 8, 2010 - The Tribunal renders its award.",Ukraine (Ukrainian),Concluded,Hotel development project
582,Ron Fuchs (Israeli),16-Jul-07,"Oil, Gas & Mining",BIT Georgia - Israel 1995,,"March 3, 2010 - The Tribunal renders its award.",Georgia (Georgian),Concluded,Oil and gas distribution enterprise
583,"Liman Caspian Oil BV (Dutch), NCL Dutch Investment BV (Dutch)",16-Jul-07,"Oil, Gas & Mining",ECT (Energy Charter Treaty),,"June 22, 2010 - The Tribunal renders its award.",Republic of Kazakhstan (Kazakhstani),Concluded,Exploration and extraction of hydrocarbons
584,S&T Oil Equipment & Machinery Ltd. (U.S.),16-Jul-07,Other Industry,BIT Romania - United States of America 1992,,"July 16, 2010 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Romania (Romanian),Concluded,Ammonia production enterprise
585,Toto Costruzioni Generali S.p.A. (Italian),03-Jul-07,Transportation,BIT Lebanon - Italy 1997,,"June 7, 2012 - The Tribunal renders its award; attached to the Award is a Concurring Opinion of one of the Arbitrators.",Lebanese Republic (Lebanese),Concluded,Highway construction contract
586,ALAS International Baustoffproduktions AG (Austrian),09-May-07,Construction,BIT Bosnia and Herzegovina - Austria 2000,,"December 27, 2007 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Bosnia and Herzegovina (Bosnian),Concluded,Cement manufacturing enterprise
587,M. Meerapfel Söhne AG (Swiss),25-Apr-07,Other Industry,Contract,,"May 12, 2011 - The Tribunal renders its award.",Central African Republic (Central African),Concluded,Tobacco industry
588,"Bureau Veritas, Inspection, Valuation, Assessment and Control, BIVAC B.V. (Dutch)",11-Apr-07,Services & Trade,BIT Netherlands - Paraguay 1992,,"August 7, 2014 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Paraguay (Paraguayan),Concluded,Service agreement
589,Giovanni Alemanni (Italian),27-Mar-07,,BIT Argentina - Italy 1990,,"December 14, 2015 - The Tribunal issues a procedural order for the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Argentine Republic (Argentine),Concluded,Debt instruments
590,"Alasdair Ross Anderson (Canadian), Albert Barkhordarian (Canadian), Andrew (Wynne) Burns (Canadian), Andrew Leon Bowers (Canadian), Bennett Lance (Canadian), Brian Roy Brownridge (Canadian), Charles Bergeron (Canadian), Claude Beauchamp (Canadian), Claudette Bernard (Canadian), Jean-Claude Barbu (Canadian), Jeannine Anderson (Canadian), Lance Llewellyn Ralph (Canadian), Letty Anderson (Canadian), Martin Eberhart Borner (Canadian), Michel Jean Bellefeuille (Canadian), Norman A. Barr (Canadian), Robert M. Browne (Canadian), Susan Frances Berrezueta (Canadian), Tessa Osbourne Borner (Canadian), Warren Becker (Canadian)",27-Mar-07,Finance,BIT Costa Rica - Canada 1998,,"May 19, 2010 - The Tribunal renders its award.",Republic of Costa Rica (Costa Rican),Concluded,Capital contributions in an enterprise
591,Europe Cement Investment and Trade S.A. (Polish),06-Mar-07,Electric Power & Other Energy,ECT (Energy Charter Treaty),,"August 13, 2009 - The Tribunal renders its award.",Republic of Turkey (Turkish),Concluded,Electricity concessions
592,"Global Gold Mining, LLC (U.S.)",20-Feb-07,"Oil, Gas & Mining",BIT United States of America - Armenia 1992,,"May 9, 2008 - The Acting Secretary-General issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Armenia (Armenian),Concluded,Mining enterprise
593,Tza Yap Shum (Chinese),12-Feb-07,Other Industry,BIT Peru - China 1994,,"July 7, 2011 - The Tribunal renders its award.",Republic of Peru (Peruvian),Concluded,Fish flour production enterprise
594,Abaclat and others (nationality not available),07-Feb-07,,BIT Argentina - Italy 1990,,"December 29, 2016 - The Tribunal renders its award embodying the parties�_settlement agreement, pursuant to ICSID Arbitration Rule 43(2).",Argentine Republic (Argentine),Concluded,Debt instruments
595,Eni Dación B.V. (Dutch),06-Feb-07,"Oil, Gas & Mining","BIT Netherlands - Venezuela, Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)",,"April 18, 2008 - The Acting Secretary-General issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Hydrocarbon rights
596,Government of the Province of East Kalimantan (Indonesian),18-Jan-07,"Oil, Gas & Mining",Contract,,"December 28, 2009 - The Tribunal renders its award.","BP International Limited (British), BP plc (British), Kalimantan Coal Limited (Mauritian), PT Kaltim Prima Coal (Indonesian), Pacific Resources Investment Limited (British), Rio Tinto plc (British), Sangatta Holding Limited (British)",Concluded,Coal mining contract
597,RSM Production Corporation (U.S.),18-Jan-07,"Oil, Gas & Mining",Contract,,"July 11, 2011 - The Tribunal renders its award.",Central African Republic (Central African),Concluded,Petroleum exploration and exploitation contract
